City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Komsomolskiy,UZ,40.4272,71.7189,38.62,93,100,2.3,fog
317,Sur,OM,22.5667,59.5289,68.22,59,0,6.58,clear sky
318,Waingapu,ID,-9.6567,120.2641,80.73,75,100,1.43,overcast clouds
319,Phon Thong,TH,16.3016,103.9768,72.41,76,28,7.27,scattered clouds
320,Abu Kamal,SY,34.4506,40.9171,49.82,53,0,9.15,clear sky
321,Angoche,MZ,-16.2325,39.9086,75.27,94,100,6.13,light rain
322,Dubai,AE,25.2582,55.3047,71.22,64,0,5.75,clear sky
323,Tutoia,BR,-2.7619,-42.2744,84.18,84,68,11.14,broken clouds
324,Paramonga,PE,-10.6667,-77.8333,71.91,78,38,7.05,scattered clouds
325,Ust-Tsilma,RU,65.441,52.1498,11.43,96,98,4.99,overcast clouds
326,Severo-Kurilsk,RU,50.6789,156.125,24.3,74,56,6.15,broken clouds
327,Dunedin,NZ,-45.8742,170.5036,52.81,88,100,8.01,overcast clouds
328,Christchurch,NZ,-43.5333,172.6333,53.94,88,100,11.5,overcast clouds
329,San Blas,MX,21.5167,-105.2667,77.54,48,10,7.11,clear sky
330,Semnan,IR,35.5729,53.3971,41.05,57,1,1.25,clear sky
331,Narsaq,GL,60.9167,-46.05,30.42,96,100,9.48,light snow
332,Kropotkin,RU,45.4375,40.5756,37.22,88,100,15.26,overcast clouds
333,Leshukonskoye,RU,64.8989,45.7622,5.22,99,95,4.74,overcast clouds
334,Shenjiamen,CN,29.9576,122.298,46.81,92,100,12.46,overcast clouds
335,Hofn,IS,64.2539,-15.2082,23.27,68,97,17.52,overcast clouds
336,Kenai,US,60.5544,-151.2583,37.49,91,100,0.0,overcast clouds
337,San Juan,AR,-31.5375,-68.5364,70.72,19,9,4.76,clear sky
338,Norman Wells,CA,65.282,-126.8329,-6.97,94,99,3.67,overcast clouds
339,Vrangel,RU,42.7297,133.0839,16.02,55,5,9.35,clear sky
340,Mahina,PF,-17.5065,-149.489,85.77,58,75,6.91,broken clouds
341,Norsup,VU,-16.0667,167.3833,82.83,77,100,8.79,overcast clouds
342,Fukuma,JP,33.7667,130.4667,46.29,91,100,7.87,light rain
343,Namibe,AO,-15.1961,12.1522,74.66,80,84,2.62,broken clouds
