City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Margate,GB,44.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
294,Magway,MM,61.72,broken clouds,20.15,94.9167,Htein Htein Thar 2
295,Bom Jardim,BR,74.98,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
297,Nacogdoches,US,41.58,broken clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
302,Ketchikan,US,42.78,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
303,Hirakud,IN,55.31,clear sky,21.5167,83.8667,VSSUT Guest House
304,Sale,MA,55.63,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
305,Nakasongola,UG,68.31,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
306,Zonguldak,TR,34.65,overcast clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
307,Alanya,TR,44.73,broken clouds,36.5438,31.9998,Panorama Hotel
308,Sukagawa,JP,41.09,overcast clouds,37.2833,140.3833,Hotel Wing International Sukagawa
312,Bengkulu,ID,76.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
313,Buritizeiro,BR,67.15,broken clouds,-17.3511,-44.9622,Santos Palace Hotel
315,Caramay,PH,79.29,overcast clouds,10.1815,119.236,Peace and Love Beach Club
